a433-microservices-item-db-1   | 2023-10-09T02:42:56.413398565Z 2023-10-09T02:42:56.412+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=a9156aaa8d91
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414052369Z 2023-10-09T02:42:56.413+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414062138Z 2023-10-09T02:42:56.413+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414066967Z 2023-10-09T02:42:56.413+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414071064Z 2023-10-09T02:42:56.413+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414076304Z 2023-10-09T02:42:56.413+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414085081Z 2023-10-09T02:42:56.413+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414093016Z 2023-10-09T02:42:56.413+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414098145Z 2023-10-09T02:42:56.413+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414107302Z 2023-10-09T02:42:56.413+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414111490Z 2023-10-09T02:42:56.413+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414274415Z 2023-10-09T02:42:56.413+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414293531Z 2023-10-09T02:42:56.414+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414298170Z 2023-10-09T02:42:56.414+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1   | 2023-10-09T02:42:56.414753002Z 2023-10-09T02:42:56.414+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=1177M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1   | 2023-10-09T02:42:57.257151183Z 2023-10-09T02:42:57.256+0000 I STORAGE  [initandlisten] WiredTiger message [1696819377:256822][1:0x7f29d17f7a40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1   | 2023-10-09T02:42:57.379659966Z 2023-10-09T02:42:57.379+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-10-09T02:42:57.379726450Z 2023-10-09T02:42:57.379+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1   | 2023-10-09T02:42:57.379735788Z 2023-10-09T02:42:57.379+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1   | 2023-10-09T02:42:57.379741609Z 2023-10-09T02:42:57.379+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-10-09T02:42:57.379793275Z 2023-10-09T02:42:57.379+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-10-09T02:42:57.379806951Z 2023-10-09T02:42:57.379+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
a433-microservices-item-db-1   | 2023-10-09T02:42:57.379811068Z 2023-10-09T02:42:57.379+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
a433-microservices-item-db-1   | 2023-10-09T02:42:57.379843319Z 2023-10-09T02:42:57.379+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-10-09T02:42:57.380397517Z 2023-10-09T02:42:57.380+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 1d6ea09b-6a1b-4ab2-884e-4910f2c5d56f
a433-microservices-item-db-1   | 2023-10-09T02:42:57.437657443Z 2023-10-09T02:42:57.437+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
a433-microservices-item-db-1   | 2023-10-09T02:42:57.438146579Z 2023-10-09T02:42:57.437+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 1086a7f6-7829-4bb3-bde1-96127cb0e6da
a433-microservices-item-db-1   | 2023-10-09T02:42:57.492146514Z 2023-10-09T02:42:57.491+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1   | 2023-10-09T02:42:57.492867014Z 2023-10-09T02:42:57.492+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1   | 2023-10-09T02:42:57.492926335Z 2023-10-09T02:42:57.492+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: f2d3a287-6822-47cf-950e-3df99f9a15fb
a433-microservices-item-db-1   | 2023-10-09T02:42:57.492936414Z 2023-10-09T02:42:57.492+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1   | 2023-10-09T02:42:57.492941604Z 2023-10-09T02:42:57.492+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1   | 2023-10-09T02:42:57.554286350Z 2023-10-09T02:42:57.553+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
a433-microservices-item-app-1  | 2023-10-09T02:42:57.534443930Z 
a433-microservices-item-app-1  | 2023-10-09T02:42:57.534493653Z > docker-software-delivery@1.0.0 start /app
a433-microservices-item-app-1  | 2023-10-09T02:42:57.534498352Z > node ./bin/www
